number,protocol,name,description,origin
664,"tcp","asf-secure-rmcp","ASF Secure Remote Management and Control Protocol","i"
665,"tcp","sun-dr","Sun DR","i"
666,"tcp","doom","doom Id Software","i"
666,"tcp","mdqs"," ","i"
667,"tcp","disclose","campaign contribution disclosures - SDR Technologies","i"
668,"tcp","mecomm","MeComm","i"
669,"tcp","meregister","MeRegister","i"
670,"tcp","vacdsm-sws","VACDSM-SWS","i"
671,"tcp","vacdsm-app","VACDSM-APP","i"
672,"tcp","vpps-qua","VPPS-QUA","i"
673,"tcp","cimplex","CIMPLEX","i"
674,"tcp","acap","ACAP","i"
675,"tcp","dctp","DCTP","i"
676,"tcp","vpps-via","VPPS Via","i"
677,"tcp","vpp","Virtual Presence Protocol","i"
678,"tcp","ggf-ncp","GNU Generation Foundation NCP","i"
679,"tcp","mrm","MRM","i"
680,"tcp","entrust-aaas","entrust-aaas","i"
681,"tcp","entrust-aams","entrust-aams","i"
682,"tcp","xfr","XFR","i"
683,"tcp","corba-iiop","CORBA IIOP","i"
684,"tcp","corba-iiop-ssl","CORBA IIOP SSL","i"
685,"tcp","mdc-portmapper","MDC Port Mapper","i"
686,"tcp","hcp-wismar","Hardware Control Protocol Wismar","i"
687,"tcp","asipregistry","asipregistry","i"
688,"tcp","realm-rusd","ApplianceWare managment protocol","i"
689,"tcp","nmap","NMAP","i"
690,"tcp","vatp","VATP","i"
691,"tcp","msexch-routing","MS Exchange Routing","i"
692,"tcp","hyperwave-isp","Hyperwave-ISP","i"
693,"tcp","connendp","connendp","i"
694,"tcp","ha-cluster","ha-cluster","i"
695,"tcp","ieee-mms-ssl","IEEE-MMS-SSL","i"
696,"tcp","rushd","RUSHD","i"
697,"tcp","uuidgen","UUIDGEN","i"
698,"tcp","olsr","OLSR","i"
699,"tcp","accessnetwork","Access Network","i"
700,"tcp","buddyphone","This Internet telephony product communicates over this port as well as the TCP range 5000-5111.","o"
700,"tcp","epp","Extensible Provisioning Protocol","i"
701,"tcp","lmp","Link Management Protocol (LMP)","i"
702,"tcp","iris-beep","IRIS over BEEP","i"
704,"tcp","elcsd","errlog copy/server daemon","i"
705,"tcp","agentx","AgentX","i"
706,"tcp","silc","SILC","i"
707,"tcp","borland-dsj","Borland DSJ","i"
709,"tcp","entrust-kmsh","Entrust Key Management Service Handler","i"
710,"tcp","entrust-ash","Entrust Administration Service Handler","i"
711,"tcp","cisco-tdp","Cisco TDP","i"
712,"tcp","tbrpf","TBRPF","i"
729,"tcp","netviewdm1","IBM NetView DM/6000 Server/Client","i"
730,"tcp","netviewdm2","IBM NetView DM/6000 send tcp","i"
731,"tcp","netviewdm3","IBM NetView DM/6000 receive tcp","i"
741,"tcp","netgw","netGW","i"
742,"tcp","netrcs","Network based Rev. Cont. Sys.","i"
744,"tcp","flexlm","Flexible License Manager","i"
747,"tcp","fujitsu-dev","Fujitsu Device Control","i"
748,"tcp","ris-cm","Russell Info Sci Calendar Manager","i"
749,"tcp","kerberos-adm","kerberos administration","i"
750,"tcp","rfile"," ","i"
751,"tcp","pump"," ","i"
752,"tcp","qrh"," ","i"
753,"tcp","rrh"," ","i"
754,"tcp","tell","send","i"
758,"tcp","nlogin"," ","i"
759,"tcp","con"," ","i"
760,"tcp","ns"," ","i"
761,"tcp","rxe"," ","i"
762,"tcp","quotad"," ","i"
763,"tcp","cycleserv"," ","i"
764,"tcp","omserv"," ","i"
765,"tcp","webster"," ","i"
767,"tcp","phonebook","phone","i"
769,"tcp","vid"," ","i"
770,"tcp","cadlock"," ","i"
771,"tcp","rtip"," ","i"
772,"tcp","cycleserv2"," ","i"
773,"tcp","submit"," ","i"
774,"tcp","rpasswd"," ","i"
775,"tcp","entomb"," ","i"
776,"tcp","wpages"," ","i"
777,"tcp","multiling-http","Multiling HTTP","i"
780,"tcp","wpgs"," ","i"
800,"tcp","mdbs_daemon"," ","i"
801,"tcp","device"," ","i"
810,"tcp","fcp-udp","FCP","i"
828,"tcp","itm-mcell-s","itm-mcell-s","i"
829,"tcp","pkix-3-ca-ra","PKIX-3 CA/RA","i"
847,"tcp","dhcp-failover2","dhcp-failover 2","i"
848,"tcp","gdoi","GDOI","i"
860,"tcp","iscsi","iSCSI","i"
873,"tcp","rsync","rsync","i"
886,"tcp","iclcnet-locate","ICL coNETion locate server","i"
887,"tcp","iclcnet_svinfo","ICL coNETion server info","i"
888,"tcp","cddbp","CD Database Protocol","i"
888,"tcp","accessbuilder","AccessBuilder","i"
900,"tcp","omginitialrefs","OMG Initial Refs","i"
901,"tcp","smpnameres","SMPNAMERES","i"
902,"tcp","ideafarm-chat","IDEAFARM-CHAT","i"
903,"tcp","ideafarm-catch","IDEAFARM-CATCH","i"
910,"tcp","kink","Kerberized Internet Negotiation of Keys (KINK)","i"
911,"tcp","xact-backup","xact-backup","i"
912,"tcp","apex-mesh","APEX relay-relay service","i"
913,"tcp","apex-edge","APEX endpoint-relay service","i"
989,"tcp","ftps-data","ftp protocol, data, over TLS/SSL","i"
990,"tcp","ftps","ftp protocol, control, over TLS/SSL","i"
991,"tcp","nas","Netnews Administration System","i"
992,"tcp","telnets","telnet protocol over TLS/SSL","i"
993,"tcp","imaps","imap4 protocol over TLS/SSL","i"
994,"tcp","ircs","irc protocol over TLS/SSL","i"
995,"tcp","pop3s","pop3 protocol over TLS/SSL (was spop3)","i"
996,"tcp","vsinet","vsinet","i"
997,"tcp","maitrd"," ","i"
998,"tcp","busboy"," ","i"
999,"tcp","garcon"," ","i"
999,"tcp","puprouter"," ","i"
1000,"tcp","cadlock2"," ","i"
1010,"tcp","surf","surf","i"
